APK Path,Model,Result
net.sugar.mypasswords,apd_sae,False
com.sonymobile.moviecreator.rmm,exodus_sae,True
net.sugar.mypasswords,abig_vae,False
com.sonymobile.moviecreator.rmm,abig_sae,True
com.mi.android.globallauncher,apd_vae,False
com.sonymobile.moviecreator.rmm,exodus_ae,True
com.sonymobile.moviecreator.rmm,apd_ae,False
net.sugar.mypasswords,abig_ae,True
com.sonymobile.moviecreator.rmm,exodus_vae,False
com.sonymobile.moviecreator.rmm,apd_sae,False
com.mi.android.globallauncher,exodus_sae,True
com.mi.android.globallauncher,abig_sae,True
com.sonymobile.moviecreator.rmm,abig_vae,True
com.mi.android.globallauncher,exodus_ae,True
com.sonymobile.moviecreator.rmm,abig_ae,True
com.miui.videoplayer,apd_vae,True
com.mi.android.globallauncher,apd_ae,True
com.mi.android.globallauncher,apd_sae,False
com.miui.videoplayer,exodus_sae,True
com.mi.android.globallauncher,exodus_vae,True
com.miui.videoplayer,abig_sae,True
com.mi.android.globallauncher,abig_vae,True
com.bloomberg.android.plus,apd_vae,False
com.miui.videoplayer,exodus_ae,True
com.miui.videoplayer,apd_ae,True
com.mi.android.globallauncher,abig_ae,True
com.miui.videoplayer,apd_sae,False
com.bloomberg.android.plus,abig_sae,True
com.bloomberg.android.plus,exodus_sae,False
com.miui.videoplayer,exodus_vae,True
com.miui.videoplayer,abig_vae,True
com.pixlr.express,apd_vae,False
com.bloomberg.android.plus,exodus_ae,False
com.bloomberg.android.plus,apd_ae,False
com.miui.videoplayer,abig_ae,True
com.bloomberg.android.plus,apd_sae,False
com.bloomberg.android.plus,exodus_vae,False
com.pixlr.express,exodus_sae,False
com.pixlr.express,abig_sae,True
com.bloomberg.android.plus,abig_vae,True
com.pixlr.express,exodus_ae,False
com.sec.android.app.voicenote,apd_vae,False
com.pixlr.express,apd_ae,False
com.bloomberg.android.plus,abig_ae,True
com.pixlr.express,exodus_vae,False
com.pixlr.express,apd_sae,False
com.pixlr.express,abig_vae,False
com.sonymobile.backgrounddefocus,apd_vae,False
com.sec.android.app.voicenote,exodus_ae,True
com.sec.android.app.voicenote,apd_ae,False
com.sec.android.app.voicenote,abig_sae,True
com.pixlr.express,abig_ae,True
